time_value,geo_value,value,activity_level,region_value,national_value
2023-05-06,al,1.2030029879922897,2.0,1.4986783216220096,1.4428392895396756
2023-01-14,al,3.373749763791665,4.0,3.954088972832187,4.904806969932883
2022-11-19,al,20.304326650387235,9.0,12.46578354943157,12.228303477268934
2024-06-29,al,1.7627527230174778,3.0,1.237849887707457,1.4704363218180896
2023-12-16,al,11.729076413559994,6.0,8.155772149863358,7.43642340903787
2022-12-24,al,6.3469214444231845,5.0,9.30938759140179,17.419358383859745
2023-08-12,al,1.7397724227821674,3.0,1.6616725593892987,1.456837989167276
2023-05-13,al,1.390843961127315,2.0,1.5189376610585499,1.4400862420953016
2022-08-13,al,1.367183832731887,2.0,1.1857371204029483,1.361119968695806
2024-01-27,al,15.661965744868816,8.0,9.186955044731464,8.889693183205093
2024-06-22,al,2.6900606617506395,3.0,1.293302248828831,1.372765530573848
2022-11-12,al,19.973988172562184,8.0,13.077148853128113,8.097128739553996
2022-12-03,al,16.224330198300706,8.0,12.068144562686008,23.643208719864063
2023-09-02,al,1.3843902539045594,2.0,1.4539693686644612,1.345114177247681
2023-07-22,al,1.3918120409965715,2.0,1.5419962118477457,1.41042084361778
2024-04-06,al,3.2077694600902156,4.0,3.6585522731885725,4.3737211924495565
2024-02-10,al,13.19445393722036,7.0,6.49045470571633,7.639733091854434
2022-09-10,al,1.389304899254456,2.0,1.5501224711991441,1.2631074452966842
2024-06-08,al,2.1008302737174507,3.0,1.4071739807970223,1.728889210463115
2023-11-18,al,4.576422551214614,5.0,2.6748246869068377,1.9337653341523473
2023-10-28,al,2.2147751427348847,3.0,1.607437924482987,1.4636725470882075
2023-07-08,al,1.2302702615035737,2.0,1.3336136394609366,1.3199627808289685
2022-10-22,al,10.050797533298152,6.0,7.610216951941194,1.4671604288012663
2024-08-24,al,1.7007380504246292,3.0,1.415211276572938,1.3692773565268315
2024-09-28,al,1.5939753716084653,2.0,1.4747261750806235,1.371334589038172
