time_value,geo_value,state_med_conc,activity_level,region_value,national_value
2024-02-17,al,9.153986021395363,9.0,8.932921674184477,6.552185867668914
2022-12-24,al,10.34733694377153,9.0,9.910576121808795,9.45640959772539
2022-10-29,al,2.468801917304013,4.0,2.7350031459492,4.029488863003323
2022-08-20,al,7.302712867580624,8.0,6.460795343025026,6.789899266237361
2023-09-09,al,6.842083630771023,8.0,6.656504439777173,6.235871739049877
2023-02-18,al,7.491076906915169,8.0,5.48930257739147,6.261954680964408
2024-03-09,al,5.721023078693612,7.0,5.1835177428913255,4.062828323893268
2022-12-17,al,8.20553798792317,9.0,7.50857896357271,9.000582166153498
2022-08-27,al,7.85827100171112,8.0,6.623400661696164,6.522764971717187
2023-10-07,al,3.115353031778275,5.0,3.1860967700028398,4.470744999084346
2022-10-01,al,3.078680715056005,5.0,2.460461372476355,3.7251455637545625
2024-08-03,al,8.257205004014407,9.0,10.31307102332109,8.04561086713608
2024-08-31,al,8.30107232753195,9.0,8.948979752590354,7.7763183226701
2024-06-29,al,3.4588142073300836,5.0,3.970879839488801,3.827272520071471
2022-12-31,al,16.127630777178027,10.0,13.001152219708578,10.840910193265492
2024-04-20,al,3.0799566524586113,5.0,1.5836252615793698,1.5208429691245278
2022-11-05,al,2.208307064966989,4.0,2.6006038919502683,4.067804421843559
2023-03-11,al,2.492170705040511,4.0,2.8159198465796518,4.470721532688801
2022-08-06,al,7.115917113870189,8.0,8.48116032800392,7.900330285935948
2023-10-28,al,2.5821946416115202,4.0,3.157188020912779,4.061504631469786
2024-09-28,al,4.396037570411701,6.0,3.913384845234591,3.95016400455367
2023-09-23,al,6.273818924369539,8.0,4.329656206014256,5.33174110167687
2022-11-26,al,3.914069120769672,5.0,3.207317808063194,5.39243709162515
2023-08-05,al,4.784906874558609,7.0,3.8421985670595005,3.2308816282951645
2023-07-22,al,2.8800007490288833,4.0,2.2629612961000367,2.0944354448040565
2023-04-15,al,1.1607332098602254,2.0,2.1589920625597108,2.7872200163035217
2024-10-05,al,2.7689596457067402,4.0,2.931666577723275,2.8019903809311764
2024-10-12,al,1.6819295133330554,3.0,2.1000645456035927,2.272767575115438
2022-10-15,al,1.9853904016207098,3.0,2.1085666970860673,3.379504809909491
2022-08-13,al,5.261037549128421,7.0,7.140479316670037,7.252818031393442
2024-03-02,al,8.776709305966502,9.0,7.220137264242391,4.935880347974075
2023-01-07,al,7.096376137962685,8.0,10.892750770146867,8.313777457681223
2022-10-08,al,1.3787760865600611,2.0,2.109555777710762,3.473413204288853
2023-02-25,al,7.532317415436957,8.0,4.1428930192926945,5.803014865706193
2023-07-01,al,1.8929689793107374,3.0,1.6522469883604698,1.3544904926571018
2023-09-02,al,10.209603213350022,9.0,6.446189945190888,5.6599519309712445
2022-12-10,al,5.428260028122602,7.0,6.285863112302053,8.437218754250006
2024-05-18,al,1.380177080523172,2.0,1.3922462323804092,1.5296572616428368
2023-04-01,al,3.0084482572368385,5.0,2.9988548136681388,3.4547164790353753
2023-05-27,al,1.8646952836764856,3.0,1.4870434832600403,1.5793852608860208
2024-04-27,al,1.5463822261318156,3.0,1.412155665914299,1.3643779577860444
2022-07-30,al,10.741351238194444,9.0,8.693203767961982,8.857882889406902
2024-06-01,al,0.9830480176507418,1.0,1.8184410776040953,1.9196465267735272
2023-08-19,al,8.190846035477314,9.0,5.144897009778413,4.34551254142467
2023-03-25,al,3.67487884187429,5.0,3.708442165349462,4.400414434015628
2024-04-13,al,2.3283476859808667,4.0,2.0641478045106307,1.8050910700295058
2023-02-04,al,4.994345550580629,7.0,7.033921114718183,6.134214649242879
2023-09-16,al,5.428162335148464,7.0,4.77011363958222,5.579832672813993
2024-03-23,al,3.3747978143577755,5.0,3.0887601804508993,2.518054484127927
2023-06-10,al,0.7128777713070926,1.0,1.2472849208234236,1.138646516176122
2022-07-23,al,10.129697172944802,9.0,9.503478290766331,9.550351810618482
2024-08-10,al,9.612980005399349,9.0,10.37224457881053,8.222365696122223
2023-09-30,al,4.3772837948198235,6.0,3.6330349685190177,5.027185691002783
2022-09-03,al,7.189543472392163,8.0,6.283808637704309,5.8386493595092945
2023-07-29,al,3.6314427585861377,5.0,3.1959869080360344,2.6598715520056477
2023-06-24,al,1.1964874746224694,2.0,1.3722672166715442,1.2023278232892203
2023-01-14,al,9.66016829504758,9.0,7.251596773068978,6.029570303401613
2024-05-11,al,1.254478706521829,2.0,1.3339119946101796,1.364568684953574
2024-01-06,al,10.514115931320442,9.0,12.539754001964601,12.602657693837138
2023-04-29,al,1.2553840669431358,2.0,1.6867369508694998,1.892072405463939
2023-12-23,al,10.015265897952801,9.0,10.287101916739879,11.338205199943935
2023-12-30,al,11.482211610380341,10.0,12.98678838625147,13.426612343006465
2024-09-07,al,9.144086633551746,9.0,7.720927511061101,7.375129653235615
2023-11-18,al,3.8259642942080654,5.0,3.635995928877021,5.234065439265072
2024-02-03,al,7.9564356304629795,8.0,10.048914339094566,7.019405532208694
2024-02-10,al,7.994378290410872,8.0,9.362877877039136,6.953178308804942
2024-07-20,al,7.45235806238807,8.0,7.591448437493616,6.166558413871416
2023-10-21,al,3.1380818534252213,5.0,3.1326604504932583,3.8446021312213627
2023-03-18,al,2.2814115630921474,4.0,3.0188311124701697,4.710454071720841
2024-05-25,al,1.699972160886335,3.0,1.569170600101271,1.6679010492235298
2023-01-28,al,8.85052343304888,9.0,6.829698211390246,5.804668206659576
2023-11-25,al,4.039028275204379,6.0,3.7114660887032924,5.9461344923293
2024-03-16,al,4.554277758732048,7.0,3.8970494782418355,2.9234374035800426
2024-04-06,al,2.4904043663951234,4.0,2.421381384922199,2.089119032784404
2024-03-30,al,2.862108006035408,4.0,2.685406628549082,2.36132726554885
2022-09-10,al,5.763413011020733,7.0,5.885548183532887,5.561184611471148
2023-08-26,al,9.120229676104215,9.0,5.965815376269866,4.928460463003365
2023-12-09,al,3.7923132204346413,5.0,5.900493926472899,8.579611677511679
2023-10-14,al,2.8563072527611033,4.0,3.1601173256288515,3.811378241927873
2024-08-24,al,12.485095656099112,10.0,9.870328052299568,8.198974340813665
2023-05-20,al,2.7439425100252053,4.0,1.5790380854694166,1.6860578363007623
2023-08-12,al,8.49897332357855,9.0,4.473808127664499,3.9146487284278892
2024-07-27,al,6.8460042806553485,8.0,8.714442394240544,6.661786776175179
2023-02-11,al,9.420310939316813,9.0,6.841892929408317,6.074211610610641
2023-11-11,al,3.276068275621911,5.0,3.550894548819459,4.840767285642494
2024-08-17,al,12.858115070662745,10.0,9.439358973065787,7.937802818965551
2023-06-17,al,1.344929482957406,2.0,1.2035274219865695,1.1576788075152558
2024-06-22,al,3.0725233576897466,5.0,3.27072397975427,3.0138146731451627
2023-03-04,al,5.903089447149567,7.0,3.861193629940645,5.140581123845883
2024-10-19,al,2.183377302276402,4.0,1.9000842423375106,1.9350640616339883
2023-12-16,al,8.84389406363237,9.0,7.2639137589631595,9.706204999520299
2023-05-13,al,1.8267276920402835,3.0,1.7688987521496264,1.9579629589720895
2024-01-20,al,10.468546982371837,9.0,9.348648987773736,8.363850738642606
2023-12-02,al,5.522368424614378,7.0,5.62552455432858,7.551099470955711
2023-01-21,al,7.367281634263431,8.0,6.7402757928473624,5.701226148947399
2022-11-19,al,3.2317597255512487,5.0,2.694505418819662,4.598416422726083
2023-04-08,al,1.9320527510871657,3.0,2.3852193899432343,2.9049761284820743
2024-06-15,al,2.066442736008648,4.0,2.4456478878234913,2.435796349356761
2023-07-08,al,1.8090883520712786,3.0,1.9471747381035451,1.6230861421988532
2023-06-03,al,1.2685832297427564,2.0,1.4230159768711803,1.2903595250980617
2024-07-13,al,6.343874064904714,8.0,5.839661053731842,5.4769371973983
2024-05-04,al,2.019534541809434,4.0,1.324565718674041,1.3312541534872606
2023-04-22,al,1.7607634736786242,3.0,1.7917425835325842,2.1682622099554676
2022-10-22,al,2.355268627619898,4.0,2.2522478016340477,3.457602115529286
2022-09-17,al,4.2831607562426655,6.0,4.918244537366946,5.142476786077141
2024-01-27,al,10.042519681077199,9.0,10.953293144918169,8.15791195288097
2023-11-04,al,3.4348674311478304,5.0,3.2453955078210743,4.318962366906735
2024-02-24,al,11.031782735209807,10.0,8.817641910813363,5.964976570074915
2024-07-06,al,4.5630098684761045,7.0,4.599449337342172,4.447756676424531
2023-05-06,al,1.5718551224259265,3.0,1.9078794558685783,2.049387369309628
2022-11-12,al,2.2611036620102194,4.0,2.3698584158494165,4.16566152815288
2022-12-03,al,5.243417431024306,7.0,7.050898595303196,8.582128010948434
2024-06-08,al,2.0445821222783978,4.0,2.0445821222783978,2.182508301295843
2023-07-15,al,1.5585801206007472,3.0,1.97433022311029,1.8397547308941802
2024-01-13,al,8.506560329651872,9.0,10.3699923153957,10.151105972389214
2024-09-21,al,2.6468269116142213,4.0,5.28272907662674,5.2812205813309445
2022-09-24,al,3.155600372068822,5.0,4.727034937085796,4.584053109698752
2024-09-14,al,5.605058630416959,7.0,6.691304597186898,6.655678919047137
2022-08-20,ak,6.631854206168705,8.0,5.603003022242773,6.789899266237361
2022-12-31,ak,3.5036750875286073,5.0,9.128064657657506,10.840910193265492
2024-01-27,ak,13.91207013220223,10.0,7.957350804330148,8.15791195288097
2022-07-30,ak,13.204469641281424,10.0,9.365725799186498,8.857882889406902
2023-01-21,ak,2.5924356400626927,4.0,4.890432594076403,5.701226148947399
2024-07-06,ak,6.226516607125577,8.0,7.124143789003283,4.447756676424531
2024-04-20,ak,1.4424003051446732,2.0,1.2965442269105347,1.5208429691245278
2022-07-16,ak,9.852641852357376,9.0,10.959759531184494,9.018522631132036
2022-11-19,ak,3.082276426360627,5.0,7.3506822324953145,4.598416422726083
2023-12-02,ak,2.7314313497856078,4.0,6.576505699920335,7.551099470955711
2022-09-03,ak,7.522538701740091,8.0,4.782551670664635,5.8386493595092945
2023-02-18,ak,5.661807438008206,7.0,7.0919313267645245,6.261954680964408
2024-10-12,ak,1.1242592759153918,2.0,2.9173846605143163,2.272767575115438
2022-11-05,ak,1.7874470669271623,3.0,4.466796564393704,4.067804421843559
2024-05-11,ak,1.8245837726195588,3.0,1.66827198110841,1.364568684953574
2023-05-13,ak,1.8389772072041286,3.0,2.2406121066502833,1.9579629589720895
2024-02-17,ak,8.533165493926932,9.0,5.697578404357998,6.552185867668914
2023-07-01,ak,3.670194044128998,5.0,1.831898254490667,1.3544904926571018
2024-03-09,ak,4.185770298743838,6.0,3.2061219480148937,4.062828323893268
2023-06-03,ak,2.4837946713223973,4.0,1.5797893179158744,1.2903595250980617
2023-01-28,ak,4.031223035499891,6.0,4.505639981662516,5.804668206659576
2023-08-05,ak,1.4626290583477988,2.0,5.182891289303807,3.2308816282951645
2024-08-10,ak,10.268446285956376,9.0,11.662591284351777,8.222365696122223
2023-10-28,ak,2.3891645972835556,4.0,4.29696035374845,4.061504631469786
2022-10-15,ak,3.148839242290653,5.0,3.2310893314164835,3.379504809909491
2022-06-18,ak,7.784332423842439,8.0,9.254954277202172,6.69875215686778
2024-07-20,ak,6.932803980045621,8.0,9.620998981752827,6.166558413871416
2024-05-18,ak,3.798229085072949,5.0,2.1317038446721823,1.5296572616428368
2024-06-08,ak,6.0873964839013075,8.0,4.260005049712997,2.182508301295843
2022-10-22,ak,2.0664120528152097,4.0,3.363499712755647,3.457602115529286
2024-03-23,ak,2.2790675404942244,4.0,2.2718444096347756,2.518054484127927
2024-08-17,ak,10.717715096231082,9.0,10.894706418392477,7.937802818965551
2024-02-10,ak,10.415375635745551,9.0,6.630443962751051,6.953178308804942
2023-05-06,ak,2.315852207569363,4.0,2.552135433914953,2.049387369309628
2023-09-30,ak,3.1909912805460454,5.0,5.201754635415533,5.027185691002783
2024-04-27,ak,2.0183852650162404,4.0,1.3110931186070103,1.3643779577860444
2024-01-13,ak,19.628343382206772,10.0,9.701361455147122,10.151105972389214
2023-03-04,ak,3.8797670820538124,5.0,6.095056497846111,5.140581123845883
2023-04-15,ak,2.7676648232411525,4.0,3.307204278028473,2.7872200163035217
2023-11-04,ak,3.298174356342814,5.0,4.686641570739526,4.318962366906735
2022-12-10,ak,2.8652326467882534,4.0,10.182915866168273,8.437218754250006
2022-09-17,ak,10.649775600204865,9.0,4.354514510463068,5.142476786077141
2023-09-02,ak,2.194595198454028,4.0,6.582401360661286,5.6599519309712445
2023-02-11,ak,9.601440448289548,9.0,6.698849059207093,6.074211610610641
2023-08-26,ak,1.6153694621939954,3.0,6.241547885269851,4.928460463003365
2023-11-18,ak,1.6008648286513498,3.0,6.083448893618835,5.234065439265072
2023-08-19,ak,2.983688525571349,4.0,6.295991341515002,4.34551254142467
2022-08-27,ak,10.381263398624709,9.0,5.335351928032307,6.522764971717187
2022-11-12,ak,2.832512168334674,4.0,5.27952797809713,4.16566152815288
2023-09-23,ak,3.7465547970268034,5.0,5.581181546284304,5.33174110167687
2022-07-02,ak,11.824082250384539,10.0,11.79650200457106,7.919451471635691
2022-12-24,ak,2.178882300022626,4.0,8.80800445417548,9.45640959772539
2023-09-09,ak,6.419940625679015,8.0,6.496890838186547,6.235871739049877
2023-04-22,ak,1.142971489585297,2.0,2.6548953187249427,2.1682622099554676
2024-06-22,ak,4.621342791334464,7.0,6.879777602778541,3.0138146731451627
2023-06-24,ak,3.203499659525111,5.0,1.6119501017649096,1.2023278232892203
2023-04-08,ak,2.4217743275458066,4.0,3.480570382790161,2.9049761284820743
2023-03-11,ak,3.996463223389062,5.0,5.707166702774481,4.470721532688801
2023-07-22,ak,1.698753201319927,3.0,3.3716899078024776,2.0944354448040565
2022-10-29,ak,1.5408991375190275,3.0,3.6033299470118907,4.029488863003323
2024-01-20,ak,13.971202002128585,10.0,8.996004566259693,8.363850738642606
2023-12-16,ak,2.8910580046556773,4.0,7.596313577823802,9.706204999520299
2024-02-03,ak,13.222376252338426,10.0,6.816338609595187,7.019405532208694
2023-11-25,ak,3.7323525351106515,5.0,5.377990962311242,5.9461344923293
2024-10-05,ak,2.800054331394225,4.0,3.4320755916794736,2.8019903809311764
2024-05-04,ak,1.0301444339593322,2.0,1.23489104516246,1.3312541534872606
2024-04-06,ak,1.424153050802633,2.0,1.653707067016438,2.089119032784404
2024-02-24,ak,5.252349957919862,7.0,4.722943653822288,5.964976570074915
2022-09-10,ak,8.063120411476849,9.0,4.455066756962248,5.561184611471148
2023-06-17,ak,3.7224775954190488,5.0,1.2862721305524127,1.1576788075152558
2024-08-03,ak,12.737725735748072,10.0,12.055534414693208,8.04561086713608
2024-06-01,ak,4.839402512266714,7.0,3.462806918511151,1.9196465267735272
2023-02-04,ak,4.067158764446258,6.0,6.187919450418414,6.134214649242879
2023-07-29,ak,2.846637106824063,4.0,4.316615405004535,2.6598715520056477
2023-09-16,ak,1.2182804820525954,2.0,5.910923882792462,5.579832672813993
2023-10-21,ak,3.039479232249784,5.0,5.248569430969014,3.8446021312213627
2022-10-01,ak,4.104462725008302,6.0,3.8527612338274233,3.7251455637545625
2023-07-15,ak,6.557174617442056,8.0,2.699695006115098,1.8397547308941802
2023-01-14,ak,2.0987672526102124,4.0,5.640333826598564,6.029570303401613
2024-08-31,ak,9.323343068124224,9.0,9.249826379449075,7.7763183226701
2024-09-07,ak,5.155525124585376,7.0,10.225406509465536,7.375129653235615
2023-11-11,ak,4.105631455783313,6.0,5.691429988353124,4.840767285642494
2023-04-01,ak,2.7909233693465154,4.0,4.431597405299395,3.4547164790353753
2024-03-30,ak,2.1834012150207878,4.0,1.618425590461163,2.36132726554885
2023-08-12,ak,7.211335651650226,8.0,5.812211082070187,3.9146487284278892
2022-07-09,ak,10.897880266548327,9.0,12.266860428187332,9.282657247267704
2022-10-08,ak,2.9192944537731504,4.0,3.6557517045807897,3.473413204288853
2023-02-25,ak,4.198754793365847,6.0,7.059459761621152,5.803014865706193
2022-11-26,ak,2.0861246761537697,4.0,8.162742401484211,5.39243709162515
2022-06-04,ak,13.962581976586403,10.0,9.74928862384909,7.22381681214419
2022-06-11,ak,15.293643516543751,10.0,9.783699243149071,6.820274971096861
2024-05-25,ak,2.624241013718154,4.0,2.7061281494797784,1.6679010492235298
2024-10-19,ak,2.005494546059553,4.0,2.2253924410309613,1.9350640616339883
2024-03-02,ak,7.199964986930191,8.0,3.5432182853031975,4.935880347974075
2023-10-07,ak,4.786127018637839,7.0,4.788229000060838,4.470744999084346
2024-06-29,ak,7.611472942935319,8.0,7.175387152250726,3.827272520071471
2024-04-13,ak,2.829796064636777,4.0,1.3151466479210132,1.8050910700295058
2024-01-06,ak,38.26543174503503,10.0,13.643099639832045,12.602657693837138
2023-06-10,ak,3.7507301736372494,5.0,1.3919542931231639,1.138646516176122
2024-03-16,ak,1.2842343332049764,2.0,2.5022629742156774,2.9234374035800426
2023-07-08,ak,3.71870249017576,5.0,1.9619550066801583,1.6230861421988532
2022-06-25,ak,7.996654481042545,8.0,10.889675270305345,7.2177121781219675
2024-08-24,ak,4.727838675869124,7.0,9.102866462562634,8.198974340813665
2022-08-13,ak,7.921771071061856,8.0,6.202618991746633,7.252818031393442
2023-04-29,ak,0.9843423518179443,1.0,2.260486304009823,1.892072405463939
2023-12-23,ak,4.856051344017432,7.0,11.208890105427969,11.338205199943935
2024-09-21,ak,2.901772098433585,4.0,5.680244280281132,5.2812205813309445
2024-09-14,ak,6.003065163716968,8.0,7.570140686184672,6.655678919047137
2022-12-03,ak,2.15729043172219,4.0,11.042465343763563,8.582128010948434
2023-12-30,ak,7.61250616918556,8.0,12.257226896683356,13.426612343006465
2022-08-06,ak,7.375681499345884,8.0,6.994373164371485,7.900330285935948
2023-01-07,ak,2.911675502119892,4.0,8.015654018418019,8.313777457681223
2022-07-23,ak,19.10812541396575,10.0,11.022933039662398,9.550351810618482
2023-03-25,ak,9.086566069951518,9.0,5.212993706351808,4.400414434015628
2023-10-14,ak,3.473365812803086,5.0,5.272869550385898,3.811378241927873
2023-05-20,ak,1.2767307310097364,2.0,2.1225381632488087,1.6860578363007623
2022-12-17,ak,1.8496418921901872,3.0,9.138374538891624,9.000582166153498
2023-12-09,ak,4.97684054330929,7.0,7.463447808964883,8.579611677511679
2024-06-15,ak,6.388619096789116,8.0,4.418208330137432,2.435796349356761
2024-09-28,ak,2.476393548915456,4.0,4.87703389813101,3.95016400455367
2023-03-18,ak,4.686527395225317,7.0,5.956478734386096,4.710454071720841
2023-05-27,ak,4.705485292697052,7.0,1.675523150763255,1.5793852608860208
2024-07-27,ak,11.31471845916547,10.0,10.499815359552208,6.661786776175179
2024-07-13,ak,13.484401240798768,10.0,9.532306175618604,5.4769371973983
2022-09-24,ak,,,4.773406748261051,4.584053109698752
2024-01-20,az,9.972935533476132,9.0,8.996004566259693,8.363850738642606
2023-05-27,az,0.5367618264568708,1.0,1.675523150763255,1.5793852608860208
2022-06-18,az,5.588145980786425,7.0,9.254954277202172,6.69875215686778
2024-10-05,az,3.7211947140452732,5.0,3.4320755916794736,2.8019903809311764
2022-07-02,az,9.076047489263878,9.0,11.79650200457106,7.919451471635691
2022-04-09,az,4.657261482453176,7.0,1.295587981727566,1.5675870483403727
2022-11-12,az,4.818987725247726,7.0,5.27952797809713,4.16566152815288
2023-05-20,az,0.767595420063465,1.0,2.1225381632488087,1.6860578363007623
2023-09-16,az,8.12976207138259,9.0,5.910923882792462,5.579832672813993
2023-12-09,az,12.771424391807459,10.0,7.463447808964883,8.579611677511679
2022-03-19,az,0.4485867166425912,1.0,0.8916208933202531,1.206996837026257
2022-10-22,az,1.506164853923682,3.0,3.363499712755647,3.457602115529286
2023-06-24,az,0.3283471725043978,1.0,1.6119501017649096,1.2023278232892203
2022-12-10,az,10.370774743032351,9.0,10.182915866168273,8.437218754250006
2023-12-02,az,6.918446019870891,8.0,6.576505699920335,7.551099470955711
2022-11-26,az,10.871776278623972,9.0,8.162742401484211,5.39243709162515
2024-02-24,az,3.077831772584706,5.0,4.722943653822288,5.964976570074915
2023-04-08,az,2.2120625766031896,4.0,3.480570382790161,2.9049761284820743
2023-07-08,az,9.325522741797476,9.0,1.9619550066801583,1.6230861421988532
2022-09-17,az,1.5866119432760937,3.0,4.354514510463068,5.142476786077141
2022-12-24,az,4.172813360154962,6.0,8.80800445417548,9.45640959772539
2022-12-03,az,14.199572498727015,10.0,11.042465343763563,8.582128010948434
2022-04-02,az,0.45539123168287404,1.0,1.0697633013188024,1.2453132965001892
2024-01-27,az,11.228998392701342,10.0,7.957350804330148,8.15791195288097
2022-10-29,az,2.0917067127757907,4.0,3.6033299470118907,4.029488863003323
2023-03-11,az,3.9170795595867833,5.0,5.707166702774481,4.470721532688801
2023-10-28,az,5.828243969125532,7.0,4.29696035374845,4.061504631469786
2023-08-12,az,2.856900065448218,4.0,5.812211082070187,3.9146487284278892
2023-12-16,az,16.21858324152214,10.0,7.596313577823802,9.706204999520299
2023-02-04,az,2.6859768499415964,4.0,6.187919450418414,6.134214649242879
2023-11-25,az,6.052313281208645,8.0,5.377990962311242,5.9461344923293
2023-11-04,az,9.422606929857185,9.0,4.686641570739526,4.318962366906735
2022-03-05,az,5.08556025986166,7.0,1.4006695824646844,1.7570564215061715
2023-01-28,az,1.597401788999,3.0,4.505639981662516,5.804668206659576
2023-08-19,az,10.590295583762249,9.0,6.295991341515002,4.34551254142467
2022-03-26,az,0.26063567902723134,1.0,0.9051943461198892,1.2596661072056738
2022-07-09,az,7.801143977396131,8.0,12.266860428187332,9.282657247267704
2024-08-17,az,4.614169813377006,7.0,10.894706418392477,7.937802818965551
2023-06-10,az,0.32412392052244043,1.0,1.3919542931231639,1.138646516176122
2023-05-06,az,2.09787345025655,4.0,2.552135433914953,2.049387369309628
2024-03-30,az,2.398439625666337,4.0,1.618425590461163,2.36132726554885
2022-01-29,az,23.529873305743102,10.0,22.64087654516384,13.728127920850664
2024-09-28,az,4.494416875119345,6.0,4.87703389813101,3.95016400455367
2023-07-29,az,4.310989598057217,6.0,4.316615405004535,2.6598715520056477
2023-09-30,az,8.976446836249186,9.0,5.201754635415533,5.027185691002783
2023-03-18,az,4.325101207841,6.0,5.956478734386096,4.710454071720841
2024-06-08,az,3.327241097876595,5.0,4.260005049712997,2.182508301295843
2024-03-02,az,2.8210257047017917,4.0,3.5432182853031975,4.935880347974075
2023-01-21,az,1.3116725180491844,2.0,4.890432594076403,5.701226148947399
2023-02-18,az,4.852129638368139,7.0,7.0919313267645245,6.261954680964408
2022-10-01,az,1.7356792696235412,3.0,3.8527612338274233,3.7251455637545625
2022-03-12,az,1.0827006821622351,2.0,1.065127124656298,1.4736183011626238
2023-07-01,az,0.7287127550675023,1.0,1.831898254490667,1.3544904926571018
2022-01-22,az,57.74204258079163,10.0,35.7147223912786,19.441221121099908
2022-10-08,az,2.0907567650734507,4.0,3.6557517045807897,3.473413204288853
2022-09-10,az,1.9879627790203824,3.0,4.455066756962248,5.561184611471148
2024-09-21,az,3.601633424742336,5.0,5.680244280281132,5.2812205813309445
2023-10-21,az,5.421707512031359,7.0,5.248569430969014,3.8446021312213627
2023-04-01,az,1.9107148881959812,3.0,4.431597405299395,3.4547164790353753
