forecast_date,forecaster,geo_value,weight
##################
# default values
##################
2024-10-01, all, mp, 0
2024-10-01, windowed_seasonal, all, 0.5
2024-10-01, windowed_seasonal_extra_sources, all, 3
2024-10-01, climate_linear, all, 0.001
2024-10-01, linear, all, 3
2024-10-01, linearlog, all, 0
2024-10-01, climate_base, all, 2
2024-10-01, climate_geo_agged, all, 0
2024-10-01, climate_quantile_extrapolated, all, 0
##################
# Nov 19, data returns, switch back to seasonal forecasters
##################
2025-11-19, all, mp, 0
2025-11-19, windowed_seasonal, all, 0.5
2025-11-19, windowed_seasonal_extra_sources, all, 3
2025-11-19, climate_linear, all, 0.001
2024-11-19, linear, all, 3
2024-11-19, linearlog, all, 0
2024-11-19, climate_base, all, 2
2024-11-19, climate_geo_agged, all, 0
2024-11-19, climate_quantile_extrapolated, all, 0
##################
# Oct 15: no data, massively weight climate linear
##################
2025-10-15, all, mp, 0
2025-10-15, windowed_seasonal, all, 0.01
2025-10-15, windowed_seasonal_extra_sources, all, 0.01
2025-10-15, climate_linear, all, 5
2025-10-15, linear, all, 2
2025-10-15, linearlog, all, 0
2025-10-15, climate_base, all, 2
2025-10-15, climate_geo_agged, all, 0
2025-10-15, climate_quantile_extrapolated, all, 0
##################
# April 30th
##################
2025-04-30, all, mp, 0
2025-04-30, windowed_seasonal, all, 3
2025-04-30, windowed_seasonal_extra_sources, all, 3
2025-04-30, climate_linear, all, 3
2025-04-30, linear, all, 2
2025-04-30, linearlog, all, 0
2025-04-30, climate_base, all, 0.5
2025-04-30, climate_geo_agged, all, 0
2025-04-30, climate_quantile_extrapolated, all, 0
##################
# April 23rd
##################
2025-04-23, all, mp, 0
2025-04-23, windowed_seasonal, all, 3
2025-04-23, windowed_seasonal_extra_sources, all, 3
2025-04-23, climate_linear, all, 3
2025-04-23, linear, all, 2
2025-04-23, linearlog, all, 0
2025-04-23, climate_base, all, 0.5
2025-04-23, climate_geo_agged, all, 0
2025-04-23, climate_quantile_extrapolated, all, 0
##################
# March 12th
##################
2025-03-12, all, mp, 0
2025-03-12, windowed_seasonal, all, 3
2025-03-12, windowed_seasonal_extra_sources, all, 3
2025-03-12, climate_linear, all, 3
2025-03-12, linear, all, 2
2025-03-12, linearlog, all, 0
2025-03-12, climate_base, all, 0.5
2025-03-12, climate_geo_agged, all, 0.25
2025-03-12, climate_quantile_extrapolated, all, 0
2025-03-12, windowed_seasonal_extra_sources, dc, 0
##################
# March 5th
##################
2025-03-05, all, mp, 0
2025-03-05, windowed_seasonal, all, 3
2025-03-05, windowed_seasonal_extra_sources, all, 3
2025-03-05, climate_linear, all, 3
2025-03-05, linear, all, 2
2025-03-05, linearlog, all, 0
2025-03-05, climate_base, all, 0.5
2025-03-05, climate_geo_agged, all, 0.25
2025-03-05, climate_quantile_extrapolated, all, 0
##################
# Feb 26
##################
2025-02-26, all, mp, 0
2025-02-26, windowed_seasonal, all, 3
2025-02-26, windowed_seasonal_extra_sources, all, 3
2025-02-26, climate_linear, all, 3
2025-02-26, linear, all, 0.5
2025-02-26, linearlog, all, 0
2025-02-26, climate_base, all, 0.5
2025-02-26, climate_geo_agged, all, 0.25
2025-02-26, climate_quantile_extrapolated, all, 0
##################
# feb 19
##################
2025-02-19, all, mp, 0
2025-02-19, windowed_seasonal, all, 3
2025-02-19, windowed_seasonal_extra_sources, all, 3
2025-02-19, climate_linear, all, 3
2025-02-19, linear, all, 0.5
2025-02-19, linearlog, all, 0
2025-02-19, climate_base, all, 0.5
2025-02-19, climate_geo_agged, all, 0.25
2025-02-19, climate_quantile_extrapolated, all, 0
# state specific
2025-02-19, linear, in, 3
2025-02-19, linear, ks, 3
2025-02-19, linear, ky, 3
2025-02-19, linear, mt, 3
2025-02-19, windowed_seasonal_extra_sources, mo, 0
2025-02-19, windowed_seasonal_extra_sources, pr, 0
2025-02-19, windowed_seasonal_extra_sources, us, 0
2025-02-19, windowed_seasonal_extra_sources, wy, 0
##################
# feb 12 (same as the 5th)
##################
2025-02-12, all, mp, 0
2025-02-12, windowed_seasonal, all, 3
2025-02-12, windowed_seasonal_extra_sources, all, 3
2025-02-12, climate_linear, all, 3
2025-02-12, linear, all, 0.5
2025-02-12, linearlog, all, 0
2025-02-12, climate_base, all, 0
2025-02-12, climate_geo_agged, all, 0.0
##################
# feb 5
##################
2025-02-05, all, mp, 0
2025-02-05, windowed_seasonal, all, 3
2025-02-05, windowed_seasonal_extra_sources, all, 3
2025-02-05, climate_linear, all, 3
2025-02-05, linear, all, 0.5
2025-02-05, linearlog, all, 0
2025-02-05, climate_base, all, 0
2025-02-05, climate_geo_agged, all, 0.0
##################
# Jan 29 (same as the 15th)
##################
2025-01-29, all, mp, 0
2025-01-29, windowed_seasonal, all, 3
2025-01-29, windowed_seasonal_extra_sources, all, 3
2025-01-29, climate_linear, all, 3
2025-01-29, linear, all, 0.5
2025-01-29, linearlog, all, 0
2025-01-29, climate_base, all, 0.5
2025-01-29, climate_geo_agged, all, 0.25
2025-01-29, climate_quantile_extrapolated, all, 0
##################
# Jan 22 (same as the 15th)
##################
2025-01-22, all, mp, 0
2025-01-22, windowed_seasonal, all, 3
2025-01-22, windowed_seasonal_extra_sources, all, 3
2025-01-22, climate_linear, all, 3
2025-01-22, linear, all, 0.5
2025-01-22, linearlog, all, 0
2025-01-22, climate_base, all, 0.5
2025-01-22, climate_geo_agged, all, 0.25
2025-01-22, climate_quantile_extrapolated, all, 0
##################
# jan 15, first use of windowed_seasonal_extra_sources
##################
2025-01-15, all, mp, 0
2025-01-15, windowed_seasonal, all, 3
2025-01-15, windowed_seasonal_extra_sources, all, 3
2025-01-15, climate_linear, all, 3
2025-01-15, linear, all, 0.5
2025-01-15, linearlog, all, 0
2025-01-15, climate_base, all, 0.5
2025-01-15, climate_geo_agged, all, 0.25
2025-01-15, climate_quantile_extrapolated, all, 0
##################
# jan 8
##################
2025-01-08, all, mp, 0
2025-01-08, windowed_seasonal, all, 3
2025-01-08, windowed_seasonal_extra_sources, all, 0
2025-01-08, climate_linear, all, 3
2025-01-08, linear, all, 0.5
2025-01-08, linearlog, all, 0
2025-01-08, climate_base, all, 0.5
2025-01-08, climate_geo_agged, all, 0.25
2025-01-08, climate_quantile_extrapolated, all, 0
##################
# jan 1 (same as dec 11th)
##################
2025-01-01, all, mp, 0
2025-01-01, windowed_seasonal, all, 1
2025-01-01, windowed_seasonal_extra_sources, all, 0
2025-01-01, climate_linear, all, 1
2025-01-01, linear, all, 0.5
2025-01-01, linearlog, all, 0
2025-01-01, climate_base, all, 0.5
2025-01-01, climate_geo_agged, all, 0.25
2025-01-01, climate_quantile_extrapolated, all, 0
##################
# dec 25 (same as the 11th)
##################
2024-12-25, all, mp, 0
2024-12-25, windowed_seasonal, all, 1
2024-12-25, windowed_seasonal_extra_sources, all, 0
2024-12-25, climate_linear, all, 1
2024-12-25, linear, all, 0.5
2024-12-25, linearlog, all, 0
2024-12-25, climate_base, all, 0.5
2024-12-25, climate_geo_agged, all, 0.25
2024-12-25, climate_quantile_extrapolated, all, 0
##################
# dec 11
##################
2024-12-11, all, mp, 0
2024-12-11, windowed_seasonal, all, 1
2024-12-11, windowed_seasonal_extra_sources, all, 0
2024-12-11, climate_linear, all, 1
2024-12-11, linear, all, 0.5
2024-12-11, linearlog, all, 0
2024-12-11, climate_base, all, 0.5
2024-12-11, climate_geo_agged, all, 0.25
2024-12-11, climate_quantile_extrapolated, all, 0
##################
# dec 4
##################
2024-12-04, all, mp, 0
2024-12-04, windowed_seasonal, all, 0
2024-12-04, windowed_seasonal_extra_sources, all, 0
2024-12-04, climate_linear, all, 3
2024-12-04, linear, all, 3
2024-12-04, linearlog, all, 0
2024-12-04, climate_base, all, 2
2024-12-04, climate_geo_agged, all, 0.5
2024-12-04, climate_quantile_extrapolated, all, 0
##################
# nov 27
##################
2024-11-27, all, mp, 0
2024-11-27, windowed_seasonal, all, 0
2024-11-27, windowed_seasonal_extra_sources, all, 0
2024-11-27, climate_linear, all, 3
2024-11-27, linear, all, 3
2024-11-27, linearlog, all, 0
2024-11-27, climate_base, all, 2
2024-11-27, climate_geo_agged, all, 0.1
2024-11-27, climate_quantile_extrapolated, all, 0
################################################
# minor blip, the uploaded data was wildly wrong
# this does mean the forecasts will probably be more accurate
# These forecasts were made on the 22nd but are recorded as the 20th
################################################
