geo_value, forecast_date, time_value, value
nh, 2025-01-15, 2025-01-11, 150
dc, 2025-02-19, 2025-02-15, 18
ga, 2025-02-19, 2025-02-15, 210
sd, 2025-03-05, 2025-02-26, 35
ak, 2025-03-26, 2025-03-19, 15
ar, 2025-03-26, 2025-03-19, 85
ky, 2025-03-26, 2025-03-19, 130
nj, 2025-03-26, 2025-03-19, 270
al, 2026-01-28, 2026-01-24, 130
